id,title,company,location,salary_min,salary_max,site,job_url,date_posted,date_scraped
7,SUPERVISOR DE LOGISTICA - ALMACEN PLANTA DE AUTOPARTES,LP Logistics Solutions,"Silao, GUA, MX",,,indeed,https://mx.indeed.com/viewjob?jk=f575f938e5cdea01,2026-01-14,2026-01-15 10:18:00.324846
8,SUPERVISOR DE LOGISTICA - ALMACEN PLANTA DE AUTOPARTES,LP Logistics Solutions,"Guanajuato, GUA, MX",,,indeed,https://mx.indeed.com/viewjob?jk=cd796377e497a74c,2026-01-14,2026-01-15 10:18:00.324846
9,JEFE DE TALLER DE PINTURA,TUVANOSA,"Silao, GUA, MX",,,indeed,https://mx.indeed.com/viewjob?jk=1bf422fa3533f352,2026-01-13,2026-01-15 10:18:00.324846
10,JEFE DE OPERACIONES,JlsConsultor,"León, GUA, MX",,,indeed,https://mx.indeed.com/viewjob?jk=98a22b416531e52a,2026-01-13,2026-01-15 10:18:00.324846
1,GERENTE DE OPERACIONES NACIONAL,Premium ICe,"Irapuato, GUA, MX",,,indeed,https://mx.indeed.com/viewjob?jk=27c9a147284b9d80,2026-01-14,2026-01-15 10:18:00.320061
2,QUALITY ENGINEER,GST AUTOLEATHER,"León, GUA, MX",,,indeed,https://mx.indeed.com/viewjob?jk=e97b078b6f4a20f0,2026-01-14,2026-01-15 10:18:00.320061
3,INGENIEROS MECANICOS,TERMOFILM,"Central de Abastos, GUA, MX",,,indeed,https://mx.indeed.com/viewjob?jk=3b17be4fddb0e6cc,2026-01-14,2026-01-15 10:18:00.320061
4,QUOTE TECHNICIAN,GST AUTOLEATHER,"León, GUA, MX",,,indeed,https://mx.indeed.com/viewjob?jk=8d72c47d3c6bbd12,2026-01-14,2026-01-15 10:18:00.320061
5,SUPERVISOR DE LOGISTICA - ALMACEN PLANTA DE AUTOPARTES,LP Logistics Solutions,"Irapuato, GUA, MX",,,indeed,https://mx.indeed.com/viewjob?jk=03ab533db5dadf9e,2026-01-14,2026-01-15 10:18:00.320061
6,SUPERVISOR DE LOGISTICA - ALMACEN PLANTA DE AUTOPARTES,LP Logistics Solutions,"León, GUA, MX",,,indeed,https://mx.indeed.com/viewjob?jk=01a73ef9867ceccb,2026-01-14,2026-01-15 10:18:00.320061
